,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
0,Jeffersonia diphylla,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh,HP (in USDA Zones 5 to 7),10 inches,M N O,http://companionplants.com/catalog/images/thumbs/6-14-09%20015.jpg
1,Achyranthes bidentata, $5.00 ,Potted Plants,PS-FS,HP (to zone 5),3 feet,M,http://companionplants.com/catalog/images/thumbs/07-30-14%20035.JPG
2,Achillea millefolium, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 10),2 feet,A E L M N,http://companionplants.com/catalog/images/thumbs/Achillea%20millefolium.JPG
3,Aconitum napellus, $8.75 ,Potted Plants,PS-FS,HP (zones 2 to 9),3 feet,M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20027.jpg
4,Acorus calamus, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 11),5 feet,A C D L M N O,http://companionplants.com/catalog/images/thumbs/7-19-12%20011.jpg
5,Acorus gramineus 'Licorice', $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 10),12 inches,A C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
6,Alchemilla vulgaris, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),12 inches,E M O,http://companionplants.com/catalog/images/thumbs/7-19-12%20005.jpg
7,Allium schoenoprasum, $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 9),12 inches,C E O,http://companionplants.com/catalog/images/thumbs/6-25-09%20036.jpg
8,Allium senescens var 'glaucum', $5.00 ,Potted Plants,FS,HP (zones 3 to 9),6 inches,C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
9,Allium tuberosum, $4.85 ,Potted Plants,FS,HP (zones 4 to 8),2 feet,C M O,http://companionplants.com/catalog/images/thumbs/08-20-14%20002.JPG
10,Aloe barbadensis, $5.00 ,Potted Plants,sh-PS,TP,12 inches,L M,http://companionplants.com/catalog/images/thumbs/Aloe%20vera.jpg
